BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
NISSAN,TIIDA,2011年,8.6萬公里,基隆市/詮昌汽車,1,1,23.8萬
NISSAN,LIVINA,2008年,21.3萬公里,高雄市/巨將汽車,1,1,23.8萬
MAZDA,MAZDA 3,2007年,10.9萬公里,桃園市/車神汽車,1,1,23.8萬
MAZDA,MAZDA 3,2008年,19.7萬公里,彰化縣/品尊汽車,1,1,19.8萬
TOYOTA,VIOS,2003年,16.5萬公里,高雄市/巨將汽車,1,1,16.8萬
MITSUBISHI,VERYCA,2010年,3.9萬公里,新北市/瑞億汽車,1,1,23.0萬
MITSUBISHI,COLT PLUS,2008年,13.7萬公里,台中市/金沙汽車,1,1,19.8萬
MITSUBISHI,LANCER FORTIS,2008年,10.9萬公里,高雄市/崧誠汽車,1,1,24.8萬
MAZDA,MAZDA 3,2007年,9.7萬公里,高雄市/崧誠汽車,1,1,24.8萬
TOYOTA,ALTIS,2007年,11.5萬公里,新竹市/傑昇汽車,1,1,19.8萬
MITSUBISHI,COLT PLUS,2012年,7.9萬公里,台中市/信義汽車,1,1,23.8萬
TOYOTA,ALTIS,2007年,25.6萬公里,高雄市/辰泰汽車,1,1,21.8萬
MITSUBISHI,ZINGER,2006年,14.5萬公里,桃園市/永興汽車,1,1,19.8萬
TOYOTA,ALTIS,2007年,16.4萬公里,台中市/坦格汽車,1,1,24.8萬
MITSUBISHI,DELICA,2011年,20.6萬公里,台中市/尚安汽車,1,1,23.5萬
TOYOTA,ALTIS,2006年,20.1萬公里,彰化縣/鹿豐汽車,1,1,22.8萬
TOYOTA,VIOS,2007年,16.7萬公里,苗栗縣/駿品汽車,1,1,19.8萬
NISSAN,TIIDA,2007年,13.9萬公里,台中市/坦格汽車,1,1,16.8萬
FORD,FOCUS,2007年,13.5萬公里,彰化縣/格上汽車,1,1,19.8萬
MITSUBISHI,VERYCA,2010年,6.7萬公里,南投縣/東樺汽車,1,1,24.9萬
FORD,FOCUS,2009年,14.8萬公里,彰化縣/高通汽車,1,1,24.8萬
FORD,ESCAPE,2007年,13萬公里,彰化縣/弘益汽車,1,1,23.8萬
TOYOTA,VIOS,2007年,15.4萬公里,台中市/弘宇車業,1,1,18.5萬
TOYOTA,YARIS,2006年,10.6萬公里,南投縣/東樺汽車,1,1,19.9萬
SUZUKI,SOLIO,2007年,22.5萬公里,彰化縣/鹿豐汽車,1,1,17.8萬
MITSUBISHI,VERYCA,2007年,5.9萬公里,新竹縣/光華汽車,1,1,23.8萬
SUZUKI,SOLIO,2007年,7.4萬公里,桃園市/車神汽車,1,1,22.8萬
TOYOTA,ALTIS,2007年,11.8萬公里,高雄市/巨將汽車,1,1,21.8萬
TOYOTA,VIOS,2009年,10.1萬公里,高雄市/誠品汽車,1,1,21.8萬
MITSUBISHI,DELICA,2007年,8.9萬公里,南投縣/東樺汽車,1,1,21.9萬
FORD,ESCAPE,2010年,15.7萬公里,高雄市/誠品汽車,1,1,23.8萬
FORD,FOCUS 四門,2010年,13.3萬公里,高雄市/巨將汽車,1,1,24.8萬
HYUNDAI,I10,2010年,6.7萬公里,台北市/鴻揚汽車,1,1,22.8萬
HONDA,CR-V,2005年,10.1萬公里,南投縣/東樺汽車,1,1,23.9萬
HYUNDAI,GETZ,2009年,9.6萬公里,台中市/弘宇車業,1,1,17.5萬
MITSUBISHI,VARICA,2007年,14.3萬公里,高雄市/上暘汽車,1,1,18.6萬
TOYOTA,VIOS,2008年,17.9萬公里,桃園市/正達汽車,1,1,22.0萬
MAZDA,MAZDA 3,2008年,13.3萬公里,桃園市/正達汽車,1,1,23.8萬
SUZUKI,SWIFT,2006年,11.6萬公里,台中市/崇聖汽車,1,1,23.0萬
SUZUKI,SOLIO,2006年,13.9萬公里,彰化縣/格上汽車,1,1,16.8萬
NISSAN,X-TRAIL,2006年,9.7萬公里,台中市/全民汽車,1,1,19.0萬
